ADDRESBR,ADDRESS,ASSET,BKCLASS,BKMO,BRCENM,BRNUM,BRSERTYP,BRSERTYPDESC,CALL,CB,CBSA_DIV_NAMB,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CITY2BR,CITYBR,CITYHCR,CLCODE,CNTRYNA,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DENOVO,DEPDOM,DEPSUM,DEPSUMBR,DIVISIONB,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,HCTMULT,ID,INSAGNT1,INSBRDD,INSBRTS,INSURED,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NAMEFULL,NAMEHCR,NECNAMB,NECTABR,OCCDIST,OCCNAME,PLACENUM,REGAGNT,RSSDHCR,RSSDID,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,SPECDESC,SPECGRP,STALP,STALPBR,STALPHCR,STCNTY,STCNTYBR,STNAME,STNAMEBR,STNUMBR,UNINUMBR,UNIT,USA,YEAR,ZIP,ZIPBR,ZIPBR_RAW,ZIP_RAW
1593 Washington Pike,726 Exchange Street,39931357,N,0,,228,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Bridgeville,Bridgeville,BUFFALO,3,United States,United States,Allegheny,3,,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,"71,161",0,17945,,2,New York,2,New York,ONE,2016_16004_228,DIF,,,CB,,,38300,"Pittsburgh, PA",Collier Township Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,15216,OCC,2648693,517900,9/4/09,M,1/9/06,40.3841,-80.0931,US_Streets,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,453704,0,1,6/30/16,14210,15017,15017,14210
150 Mall Circle Drive,726 Exchange Street,39931357,N,0,C,229,23,"Limited Service, Drive-through Facility",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Monroeville,Monroeville,BUFFALO,3,United States,United States,Allegheny,3,204,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,0,0,17945,,2,New York,2,New York,ONE,2016_16004_229,DIF,,,CB,,,38300,"Pittsburgh, PA",Monroeville Mall Drive Up Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,50528,OCC,2648693,517900,9/4/09,M,7/1/07,40.431,-79.795,100,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,479753,0,1,6/30/16,14210,15146,15146,14210
2001 Murray Avenue,726 Exchange Street,39931357,N,0,C,230,23,"Limited Service, Drive-through Facility",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Pittsburgh,Pittsburgh,BUFFALO,3,United States,United States,Allegheny,3,187,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,0,0,17945,,2,New York,2,New York,ONE,2016_16004_230,DIF,,,CB,,,38300,"Pittsburgh, PA",Squirrel Hill Drive Up Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,61000,OCC,2648693,517900,9/4/09,M,7/1/07,40.4343,-79.9228,US_RoofTop,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,479754,0,1,6/30/16,14210,15217,15217,14210
11 Stanwix Street,726 Exchange Street,39931357,N,0,,323,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Pittsburgh,Pittsburgh,BUFFALO,3,United States,United States,Allegheny,3,,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,"67,010",0,17945,,2,New York,2,New York,ONE,2016_16004_323,DIF,,,CB,,,38300,"Pittsburgh, PA",Stanwix Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,61000,OCC,2648693,517900,,M,11/1/10,40.4386,-80.0056,US_Streets,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,514021,0,1,6/30/16,14210,15222,15222,14210
5375 William Flynn Highway,726 Exchange Street,39931357,N,0,,419,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Gibsonia,Gibsonia,BUFFALO,3,United States,United States,Allegheny,3,,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,"21,258",0,17945,,2,New York,2,New York,ONE,2016_16004_419,DIF,,,CB,,,38300,"Pittsburgh, PA",Richland Mall Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,64528,OCC,2648693,517900,,POINTADDRESS,4/25/11,40.6195,-79.9446,100,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,522025,0,1,6/30/16,14210,15044,15044,14210
810 South Aiken Ave,726 Exchange Street,39931357,N,0,,561,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Pittsburgh,Pittsburgh,BUFFALO,3,United States,United States,Allegheny,3,,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,"14,352",0,17945,,2,New York,2,New York,ONE,2016_16004_561,DIF,,,CB,,,38300,"Pittsburgh, PA",Shadyside Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,61000,OCC,2648693,517900,,M,12/5/11,40.4507,-79.9355,100,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,532122,0,1,6/30/16,14210,15232,15232,14210
270 Market Lane,726 Exchange Street,39931357,N,0,,572,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Wexford,Wexford,BUFFALO,3,United States,United States,Allegheny,3,,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",0,29450848,0,"14,698",0,17945,,2,New York,2,New York,ONE,2016_16004_572,DIF,,,CB,,,38300,"Pittsburgh, PA",Wexford Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,60272,OCC,2648693,517900,,POSTAL,1/22/13,40.6197,-80.0616,100,COMMERCIAL LENDING,4,NY,PA,NY,36029,42003,New York,Pennsylvania,42,537473,0,1,6/30/16,14210,15090,15090,14210
560 Pa Highway 100,726 Exchange Street,39931357,N,0,,270,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Boyertown,Boyertown,BUFFALO,3,United States,United States,Berks,11,,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",0,29450848,0,"21,813",0,17945,,2,New York,2,New York,ONE,2016_16004_270,DIF,,,CB,,,39740,"Reading, PA",Boyertown Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,14984,OCC,2648693,517900,4/9/10,STREETNAME,5/1/00,40.3425,-75.6227,100,COMMERCIAL LENDING,4,NY,PA,NY,36029,42011,New York,Pennsylvania,42,357587,0,1,6/30/16,14210,19512,19512,14210
1191 Ben Franklin Highway West,726 Exchange Street,39931357,N,0,,272,11,"Full Service, Brick and Mortar Office",CALL,,,16004,FED,Comptroller of the Currency,OCC,Buffalo,Douglassville,Douglassville,BUFFALO,3,United States,United States,Berks,11,,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",0,29450848,0,"29,529",0,17945,,2,New York,2,New York,ONE,2016_16004_272,DIF,,,CB,,,39740,"Reading, PA",Douglassville Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,2328,OCC,2648693,517900,4/9/10,M,10/9/02,40.261,-75.7296,US_Streets,COMMERCIAL LENDING,4,NY,PA,NY,36029,42011,New York,Pennsylvania,42,419037,0,1,6/30/16,14210,19518,19518,14210
209 North Main Street,726 Exchange Street,39931357,N,0,,247,11,"Full Service, Brick and Mortar Office",CALL,,"Montgomery County-Bucks County-Chester County, PA",16004,FED,Comptroller of the Currency,OCC,Buffalo,Sellersville,Sellersville,BUFFALO,3,United States,United States,Bucks,17,,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",0,29450848,0,"23,792",33874,17945,,2,New York,2,New York,ONE,2016_16004_247,DIF,,,CB,,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Sellersville Branch,"First Niagara Bank, National Association","FIRST NIAGARA FINANCIAL GROUP, INC.",,0,1,Northeast District,69248,OCC,2648693,517900,4/9/10,M,10/4/54,40.36,-75.3112,US_RoofTop,COMMERCIAL LENDING,4,NY,PA,NY,36029,42017,New York,Pennsylvania,42,184866,0,1,6/30/16,14210,18960,18960,14210
