ADDRESBR,ADDRESS,ASSET,BKCLASS,BKMO,BRCENM,BRNUM,BRSERTYP,BRSERTYPDESC,CALL,CB,CBSA_DIV_NAMB,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CITY2BR,CITYBR,CITYHCR,CLCODE,CNTRYNA,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DENOVO,DEPDOM,DEPSUM,DEPSUMBR,DIVISIONB,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,HCTMULT,ID,INSAGNT1,INSBRDD,INSBRTS,INSURED,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NAMEFULL,NAMEHCR,NECNAMB,NECTABR,OCCDIST,OCCNAME,PLACENUM,REGAGNT,RSSDHCR,RSSDID,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,SPECDESC,SPECGRP,STALP,STALPBR,STALPHCR,STCNTY,STCNTYBR,STNAME,STNAMEBR,STNUMBR,UNINUMBR,UNIT,USA,YEAR,ZIP,ZIPBR,ZIPBR_RAW,ZIP_RAW
"487 Salmon Way, Suite 101",127 Public Sq,184963242,N,0,,723,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Dutch Harbor,Dutch Harbor,CLEVELAND,3,United States,United States,Aleutians West,16,,0,,0,149273809,0,"53,281",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_723,DIF,,,CB,0,0,0,,Unalaska Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,8/15/79,53.77996605,-166.2485582,POSTAL,COMMERCIAL LENDING,4,OH,AK,OH,39035,02016,Ohio,Alaska,2,245128,0,1,6/30/24,44114,99692,99692,44114
101 W Benson Blvd,127 Public Sq,184963242,N,0,,714,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Anchorage,Anchorage,CLEVELAND,3,United States,United States,Anchorage,20,,0,,0,149273809,0,"702,859",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_714,DIF,,,CB,1,0,11260,"Anchorage, AK",101 West Benson Boulevard Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,7/10/76,61.19437981,-149.8846176,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02020,Ohio,Alaska,2,15509,0,1,6/30/24,44114,99503,99503,44114
9041 Old Seward Hwy,127 Public Sq,184963242,N,0,,716,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Anchorage,Anchorage,CLEVELAND,3,United States,United States,Anchorage,20,,0,,0,149273809,0,"66,775",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_716,DIF,,,CB,1,0,11260,"Anchorage, AK",Southside Anchorage Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/25/85,61.13856388,-149.8636572,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02020,Ohio,Alaska,2,254341,0,1,6/30/24,44114,99515,99515,44114
100 Cushman St,127 Public Sq,184963242,N,0,,717,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Fairbanks,Fairbanks,CLEVELAND,3,United States,United States,Fairbanks North Star,90,,0,,0,149273809,0,"66,132",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_717,DIF,,,CB,1,0,21820,"Fairbanks-College, AK",Fairbanks Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,1/1/05,64.84357501,-147.72188,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02090,Ohio,Alaska,2,11184,0,1,6/30/24,44114,99701,99701,44114
33 College Rd,127 Public Sq,184963242,N,0,,718,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Fairbanks,Fairbanks,CLEVELAND,3,United States,United States,Fairbanks North Star,90,,0,,0,149273809,0,"37,189",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_718,DIF,,,CB,1,0,21820,"Fairbanks-College, AK",College Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,1/1/05,64.85093201,-147.706176,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02090,Ohio,Alaska,2,240640,0,1,6/30/24,44114,99701,99701,44114
"8800 Glacier Hwy, Ste 101",127 Public Sq,184963242,N,0,,727,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Juneau,Juneau,CLEVELAND,3,United States,United States,Juneau,110,,0,,0,149273809,0,"64,295",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_727,DIF,,,CB,0,1,0,,Mendenhall Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,2/15/74,58.36394601,-134.578682,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02110,Ohio,Alaska,2,245495,0,1,6/30/24,44114,99801,99801,44114
801 Frontage Rd,127 Public Sq,184963242,N,0,,722,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Kenai,Kenai,CLEVELAND,3,United States,United States,Kenai Peninsula,122,,0,,0,149273809,0,"65,575",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_722,DIF,,,CB,0,0,0,,Kenai Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/29/61,60.554055,-151.256308,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02122,Ohio,Alaska,2,245124,0,1,6/30/24,44114,99611,99611,44114
2501 Tongass Ave,127 Public Sq,184963242,N,0,,730,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Ketchikan,Ketchikan,CLEVELAND,3,United States,United States,Ketchikan Gateway,130,,0,,0,149273809,0,"26,095",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_730,DIF,,,CB,0,1,0,,Ketchikan Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,2/1/90,55.34939001,-131.675918,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02130,Ohio,Alaska,2,254345,0,1,6/30/24,44114,99901,99901,44114
422 W Marine Way,127 Public Sq,184963242,N,0,,731,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Kodiak,Kodiak,CLEVELAND,3,United States,United States,Kodiak Island,150,,0,,0,149273809,0,"13,015",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_731,DIF,,,CB,0,0,0,,Kodiak Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,10/3/90,57.78854198,-152.407092,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02150,Ohio,Alaska,2,254346,0,1,6/30/24,44114,99615,99615,44114
201 N Lucille St,127 Public Sq,184963242,N,0,,724,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Wasilla,Wasilla,CLEVELAND,3,United States,United States,Matanuska-Susitna,170,,0,,0,149273809,0,"43,468",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_724,DIF,,,CB,1,0,11260,"Anchorage, AK",North Lucille Street Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,11/7/88,61.58149901,-149.450264,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02170,Ohio,Alaska,2,254342,0,1,6/30/24,44114,99654,99654,44114
3505 E 104th Ave,127 Public Sq,184963242,N,0,,1716,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Thornton,CLEVELAND,3,United States,United States,Adams,1,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"34,912",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1716,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Thornton Keycenter Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,12/15/03,39.885486,-104.944102,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08001,Ohio,Colorado,8,424770,0,1,6/30/24,44114,80233,80233,44114
12801 Colorado Blvd,127 Public Sq,184963242,N,0,,1873,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Thornton,Thornton,CLEVELAND,3,United States,United States,Adams,1,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"33,312",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1873,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",128Th Thornton Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,9/14/09,39.92880699,-104.941013,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08001,Ohio,Colorado,8,510796,0,1,6/30/24,44114,80241,80241,44114
14412 Orchard Pkwy,127 Public Sq,184963242,N,0,,1906,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Broomfield,Westminster,CLEVELAND,3,United States,United States,Adams,1,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"31,825",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1906,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",The Orchard At Westminster Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,2/14/11,39.95809801,-104.993243,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08001,Ohio,Colorado,8,518551,0,1,6/30/24,44114,80023,80023,44114
7198 Federal Blvd,127 Public Sq,184963242,N,0,,1907,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Westminster,Westminster,CLEVELAND,3,United States,United States,Adams,1,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"22,882",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1907,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",72Nd & Federal Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,4/11/11,39.82698698,-105.024439,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08001,Ohio,Colorado,8,519109,0,1,6/30/24,44114,80030,80030,44114
6565 E 73rd Ave,127 Public Sq,184963242,N,0,,685,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Commerce City,Commerce City,CLEVELAND,3,United States,United States,Adams,1,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"63,132",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_685,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Commerce City North Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,6/3/50,39.829722,-104.911234,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08001,Ohio,Colorado,8,10998,0,1,6/30/24,44114,80022,80022,44114
20290 E Smoky Hill Rd,127 Public Sq,184963242,N,0,,1720,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Centennial,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"36,920",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1720,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Smokey Hill Keycenter Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,2/9/04,39.61002984,-104.7522428,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,427062,0,1,6/30/24,44114,80015,80015,44114
3607 S Tower Rd,127 Public Sq,184963242,N,0,,1847,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"25,702",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1847,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",South Tower Aurora Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,5/18/09,39.65115171,-104.7730528,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,494355,0,1,6/30/24,44114,80013,80013,44114
16796 E Smoky Hill Rd,127 Public Sq,184963242,N,0,,1865,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"31,148",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1865,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Smoky Hill & Buckley Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,4/26/10,39.62614296,-104.7927543,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,508401,0,1,6/30/24,44114,80015,80015,44114
8000 E Belleview Ave,127 Public Sq,184963242,N,0,,1875,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Englewood,Greenwood Village,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"56,024",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1875,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Belleview Promenade Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,10/5/09,39.62246201,-104.896035,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,510798,0,1,6/30/24,44114,80111,80111,44114
15590 E Broncos Pkwy,127 Public Sq,184963242,N,0,,1878,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Englewood,Centennial,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"18,061",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1878,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Broncos Parkway Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,8/17/09,39.57552599,-104.807564,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,510801,0,1,6/30/24,44114,80112,80112,44114
1260 S Buckley Rd,127 Public Sq,184963242,N,0,,1888,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"25,180",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1888,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",East Arizona Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,2/22/10,39.69364708,-104.7906185,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,510986,0,1,6/30/24,44114,80017,80017,44114
2950 W Belleview Ave,127 Public Sq,184963242,N,0,,1892,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Littleton,Littleton,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"28,082",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1892,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Belleview Avenue Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,9/27/10,39.62361837,-105.022579,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,513410,0,1,6/30/24,44114,80123,80123,44114
10502 E Arizona Pl,127 Public Sq,184963242,N,0,,1921,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"31,062",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1921,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Havana Gardens Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,8/16/10,39.69445476,-104.8654155,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,521992,0,1,6/30/24,44114,80012,80012,44114
603 Peoria St,127 Public Sq,184963242,N,0,,1930,12,"Full Service, Retail Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"28,686",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1930,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",6Th & Peoria Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,99.55,7/25/11,39.72610742,-104.8477141,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,532219,0,1,6/30/24,44114,80011,80011,44114
7940 S Broadway,127 Public Sq,184963242,N,0,,671,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Littleton,Littleton,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"44,209",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_671,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Littleton Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,10/12/82,39.572565,-104.9878487,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,16765,0,1,6/30/24,44114,80122,80122,44114
"12101 E Dartmouth Ave, Ste 100",127 Public Sq,184963242,N,0,,682,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Aurora,Aurora,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"54,643",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_682,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Parker & Peoria Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,11/20/78,39.6606438,-104.8467911,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,15887,0,1,6/30/24,44114,80014,80014,44114
9250 E Arapahoe Rd,127 Public Sq,184963242,N,0,,696,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Englewood,Englewood,CLEVELAND,3,United States,United States,Arapahoe,5,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"39,990",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_696,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",9250 East Arapahoe Road Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,9/19/83,39.594548,-104.881207,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08005,Ohio,Colorado,8,17173,0,1,6/30/24,44114,80112,80112,44114
1933 28th St,127 Public Sq,184963242,N,0,,1649,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Boulder,Boulder,CLEVELAND,3,United States,United States,Boulder,13,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"38,618",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1649,DIF,,,CB,1,0,14500,"Boulder, CO",Boulder Financial Center Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,1/26/00,40.02027501,-105.258945,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08013,Ohio,Colorado,8,242052,0,1,6/30/24,44114,80301,80301,44114
2361 Clover Basin Dr,127 Public Sq,184963242,N,0,,1722,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Longmont,Longmont,CLEVELAND,3,United States,United States,Boulder,13,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"37,051",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1722,DIF,,,CB,1,0,14500,"Boulder, CO",Longmont Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,6/1/04,40.14234599,-105.131609,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08013,Ohio,Colorado,8,431130,0,1,6/30/24,44114,80503,80503,44114
409 S Mccaslin Blvd,127 Public Sq,184963242,N,0,,1846,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Louisville,Louisville,CLEVELAND,3,United States,United States,Boulder,13,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"38,231",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1846,DIF,,,CB,1,0,14500,"Boulder, CO",Mccaslin Blvd Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,99.9,6/15/09,39.96484855,-105.1636248,StreetAddress,COMMERCIAL LENDING,4,OH,CO,OH,39035,08013,Ohio,Colorado,8,494354,0,1,6/30/24,44114,80027,80027,44114
2460 Baseline Rd,127 Public Sq,184963242,N,0,,1945,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Boulder,Boulder,CLEVELAND,3,United States,United States,Boulder,13,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"17,899",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1945,DIF,,,CB,1,0,14500,"Boulder, CO",South Boulder Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,10/22/12,39.99987702,-105.261686,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08013,Ohio,Colorado,8,534352,0,1,6/30/24,44114,80305,80305,44114
88 Lamar St,127 Public Sq,184963242,N,0,,1637,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Broomfield,Broomfield,CLEVELAND,3,United States,United States,Broomfield,14,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"41,558",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1637,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Broomfield Keycenter Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,9/8/98,39.91547901,-105.066485,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08014,Ohio,Colorado,8,242041,0,1,6/30/24,44114,80020,80020,44114
200 Broadway Street,127 Public Sq,184963242,N,0,,1699,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Denver,CLEVELAND,3,United States,United States,Denver,31,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"56,423",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1699,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Broadway Central Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,1/17/03,100,1/18/71,39.71959036,-104.9874649,POINTADDRESS,COMMERCIAL LENDING,4,OH,CO,OH,39035,08031,Ohio,Colorado,8,231966,0,1,6/30/24,44114,80203,80203,44114
2305 S Colorado Blvd,127 Public Sq,184963242,N,0,,1701,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Denver,CLEVELAND,3,United States,United States,Denver,31,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"56,543",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1701,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",University Hill Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,1/17/03,100,3/20/95,39.67454698,-104.941161,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08031,Ohio,Colorado,8,231968,0,1,6/30/24,44114,80222,80222,44114
3410 E 1st Ave,127 Public Sq,184963242,N,0,,1801,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Denver,CLEVELAND,3,United States,United States,Denver,31,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"99,909",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1801,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Cherry Creek Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,8/20/07,39.71748802,-104.946996,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08031,Ohio,Colorado,8,468300,0,1,6/30/24,44114,80206,80206,44114
2693 W Evans Ave,127 Public Sq,184963242,N,0,,1897,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Denver,CLEVELAND,3,United States,United States,Denver,31,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"20,650",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1897,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Federal & Evans Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,10/18/10,39.67902401,-105.019986,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08031,Ohio,Colorado,8,514028,0,1,6/30/24,44114,80219,80219,44114
6405 E Hampden Ave,127 Public Sq,184963242,N,0,,1935,12,"Full Service, Retail Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Denver,Denver,CLEVELAND,3,United States,United States,Denver,31,,216,"Denver-Aurora-Greeley, CO",0,149273809,0,"57,554",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1935,DIF,,,CB,1,0,19740,"Denver-Aurora-Centennial, CO",Hampden & I25 Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,3/26/12,39.65352898,-104.914984,EXACT,COMMERCIAL LENDING,4,OH,CO,OH,39035,08031,Ohio,Colorado,8,532224,0,1,6/30/24,44114,80222,80222,44114
